Architecture,Model,Size_n,BatchSize,Params,FLOPs,Train_Time_Per_Batch,Final_Loss
TABULAR,MATNETS,2,32,164,45416.0,0.0011970996856689453,0.6797695159912109
TABULAR,Scalar,-,32,211,37802.0,0.0012733936309814453,0.7073683738708496
TABULAR,MATNETS,4,8,656,89584.0,0.0010416507720947266,0.6833816170692444
TABULAR,Scalar,-,8,727,40934.0,0.0013432502746582031,0.567264974117279
TABULAR,MATNETS,4,16,656,170712.0,0.0011060237884521484,0.6901590824127197
TABULAR,Scalar,-,16,727,72454.0,0.0014162063598632812,0.7189358472824097
TABULAR,MATNETS,4,32,656,332968.0,0.0010983943939208984,0.6858583688735962
TABULAR,Scalar,-,32,727,135494.0,0.0012621879577636719,0.7172647714614868
TABULAR,MATNETS,8,8,2624,668528.0,0.0010597705841064453,0.686072587966919
TABULAR,Scalar,-,8,2833,164980.0,0.0012803077697753906,0.6238692402839661
TABULAR,MATNETS,8,16,2624,1303256.0,0.000997304916381836,0.6927253603935242
TABULAR,Scalar,-,16,2833,293220.0,0.001249074935913086,0.7081828117370605
TABULAR,MATNETS,8,32,2624,2572712.0,0.0011200904846191406,0.690420389175415
TABULAR,Scalar,-,32,2833,549700.0,0.0012669563293457031,0.6889698505401611
CONV1D,MATNETS,2,8,64,62625.0,0.0008630752563476562,0.7153781056404114
CONV1D,Scalar,-,8,77,46491.0,0.0012900829315185547,0.7259773015975952
CONV1D,MATNETS,2,16,64,124425.0,0.0008051395416259766,0.6846038103103638
CONV1D,Scalar,-,16,85,92051.0,0.0013048648834228516,0.6853142976760864
CONV1D,MATNETS,2,32,64,248025.0,0.0008618831634521484,0.6901363134384155
